name,price ($),weight (kg),length (m),width (m),height (m),shipment date,destination port
Box of Chocolate Bar,31.82,1.98,0.56,0.59,0.27,2023-03-20,Port of Tianjin (China)
Whey Protein Powder,57.05,1.3,0.32,0.34,0.12,2023-03-23,Port of Shanghai (China)
Aluminum Sheets,58.42,34.97,1.99,1.49,0.09,2023-03-21,Port of Shanghai (China)
Hiking Boots,174.49,1.42,0.38,0.21,0.17,2023-03-12,Port of Tokyo (Japan)
Mixed Dried Fruits,18.62,0.92,0.28,0.28,0.15,2023-03-14,Port of Busan (South Korea)
Backpacking Tent,324.48,2.19,1.67,1.28,1.28,2023-03-18,Port of Singapore (Singapore)
Sailboat,405809.58,2903.69,22.56,3.15,5.09,2023-03-24,Port of Tianjin (China)
Planting Trowel,8.57,0.39,0.11,0.1,0.07,2023-03-12,Port of Shanghai (China)
Hoe,27.94,1.13,1.01,0.35,0.35,2023-03-27,Port of Shanghai (China)
Fan,73.69,2.93,0.37,0.3,0.33,,Port of Singapore (Singapore)
Table Lamp,58.56,0.68,0.3,0.3,0.32,2023-03-23,Port of Shanghai (China)
Refrigerator,513.43,83.42,1.2,1.1,1.7,2023-03-16,Port of Tokyo (Japan)
Big Bag with Grains,60.85,368.9,1.19,0.72,0.26,2023-03-23,Port of Tianjin (China)
Television,191.56,9.71,0.66,0.66,0.11,2023-03-15,Port of Shanghai (China)
Sunglasses,59.54,0.13,0.16,0.09,0.05,2023-03-26,Port of Tokyo (Japan)
Pallete of Laptops,10030.73,24612.7,0.72,0.42,0.15,2023-03-26,Port of Tianjin (China)
Resistance Loop Bands,22.57,0.47,0.19,0.03,0.02,2023-03-24,Port of Busan (South Korea)
Microwave,154.44,10.96,0.58,0.55,0.29,2023-03-15,Port of Busan (South Korea)
Television,104.4,8.44,0.9,0.63,0.17,2023-03-26,Port of Busan (South Korea)
Vacuum Cleaner,961.81,7.68,0.53,0.47,0.13,2023-03-12,Port of Tokyo (Japan)
Big Bag with Chemicals,242.92,844.15,1.26,0.67,0.13,2023-03-28,Port of Tokyo (Japan)
Tennis Racket,62.25,0.52,0.69,0.28,0.17,2023-03-15,Port of Tianjin (China)
Box of Books,187.62,15.62,0.27,0.32,0.08,2023-03-22,Port of Tokyo (Japan)
Wooden Planks,37.55,15.11,1.85,0.17,0.5,2023-03-23,Port of Shanghai (China)
Medium Flat Rate Box,17.03,0.32,0.69,0.59,0.25,2023-03-19,Port of Tokyo (Japan)
Ceramic Tiles,14.71,8.68,0.38,0.34,0.02,2023-03-19,Port of Busan (South Korea)
Box of Chocolate Bar,49.68,2.23,0.48,0.21,0.23,2023-03-20,Port of Tokyo (Japan)
Large Box,21.99,0.95,0.94,0.59,0.35,2023-03-22,Port of Shanghai (China)
Large Bubble Mailer,8.24,0.2,0.22,0.16,0.04,2023-03-26,Port of Shanghai (China)
Motorcycle,574.19,245.89,2.09,0.87,1.23,2023-03-12,Port of Shanghai (China)
Table Lamp,20.16,0.85,0.2,0.3,0.34,2023-03-19,Port of Shanghai (China)
Large Shipping Tube,15.05,0.68,0.63,0.32,1.73,2023-03-16,Port of Tokyo (Japan)
MDF Boards,26.3,7.69,1.74,0.62,0.05,2023-03-17,Port of Tokyo (Japan)
Pallete of Wine Bottles,302.37,812.63,1.17,0.92,0.27,2023-03-14,Port of Tianjin (China)
Medium Flat Rate Box,21.24,0.55,0.45,0.56,0.26,2023-03-26,Port of Shanghai (China)
Loaf of Bread,2.29,0.44,0.24,0.15,0.11,2023-03-24,Port of Shanghai (China)
Assorted Chocolates,14.18,0.81,0.28,0.22,0.16,2023-03-16,Port of Shanghai (China)
Pallete of Computers,812.09,2043.94,0.93,0.64,0.53,2023-03-28,Port of Singapore (Singapore)
Motorcycle,1758.84,269.83,2.1,0.96,1.21,2023-03-25,Port of Shanghai (China)
Dining Table,1462.17,26.96,1.97,1.49,1.17,2023-03-27,Port of Singapore (Singapore)
Small Boat,17330.75,738.07,5.49,1.98,2.09,2023-03-20,Port of Shanghai (China)
Lawn Mower,291.03,48.21,1.28,1.15,0.31,2023-03-17,Port of Shanghai (China)
Big Bag with Coal,137.64,1179.64,1.67,1.02,0.18,2023-03-21,Port of Busan (South Korea)
Backpack,135.81,0.72,0.21,0.3,0.57,2023-03-24,Port of Tokyo (Japan)
Smartphone Case,18.4,0.05,0.13,0.07,0.03,2023-03-27,Port of Busan (South Korea)
Box of Chocolate Bar,43.57,2.75,0.48,0.56,0.26,2023-03-21,Port of Tianjin (China)
Desk Chair,192.61,13.61,0.73,0.58,0.9,2023-03-12,Port of Busan (South Korea)
Sneakers,292.46,1.58,0.41,0.35,0.15,2023-03-25,Port of Tokyo (Japan)
Washing Machine,420.14,45.1,0.97,0.7,1.44,2023-03-13,Port of Busan (South Korea)
Pallete of Tables,2480.73,5808.77,1.72,1.49,1.21,2023-03-13,Port of Shanghai (China)
Vacuum Cleaner,216.63,8.58,0.54,0.61,0.11,2023-03-13,Port of Shanghai (China)
Laptop Bag,26.31,0.96,0.37,0.43,0.17,2023-03-25,Port of Shanghai (China)
Running Shoes,47.6,1.13,0.36,0.16,0.12,2023-03-15,Port of Singapore (Singapore)
Hiking Boots,138.44,2.51,0.39,0.44,0.31,2023-03-14,Port of Busan (South Korea)
Large Padded Envelope,9.94,0.23,0.28,0.17,0.04,2023-03-18,Port of Tokyo (Japan)
Portable Bluetooth Keyboard,114.0,0.35,0.11,0.07,0.04,2023-03-26,Port of Tokyo (Japan)
Big Bag with Grains,75.63,328.9,1.19,0.63,0.3,2023-03-28,Port of Tokyo (Japan)
Compost Bin,76.88,7.5,0.9,0.55,0.82,2023-03-25,Port of Tianjin (China)
Tablets,2324.36,0.25,1.09,0.3,0.22,2023-03-17,Port of Singapore (Singapore)
Electric Drill,88.68,3.61,0.38,0.27,0.23,2023-03-20,Port of Tokyo (Japan)
Sleeping Bag,99.3,1.63,0.52,0.4,0.28,2023-03-16,Port of Shanghai (China)
Lawn Edger,54.62,8.14,0.84,0.45,0.42,2023-03-12,Port of Tianjin (China)
Pallete of Frozen Fish,418.86,1021.37,1.13,0.88,1.38,2023-03-17,Port of Tianjin (China)
Sailboat,214814.37,2879.3,19.07,3.96,4.71,2023-03-15,Port of Singapore (Singapore)
Shelves,153.17,15.16,1.39,0.22,0.52,2023-03-16,Port of Tokyo (Japan)
Box of Books,102.13,15.24,0.19,0.31,0.07,2023-03-21,Port of Shanghai (China)
Tennis Racket,61.66,0.39,0.62,0.12,0.09,2023-03-18,Port of Singapore (Singapore)
Tablets,1058.7,0.49,0.78,0.49,0.28,2023-03-18,Port of Tianjin (China)
Fitness Trackers,259.94,0.13,0.36,0.35,0.26,2023-03-13,Port of Tianjin (China)
Desktop Computer,1488.41,9.91,0.53,0.48,0.73,2023-03-28,Port of Tianjin (China)
Medium Box,12.67,0.35,0.48,0.36,0.28,2023-03-17,Port of Busan (South Korea)
Drone,633.1,1.07,1.34,0.52,0.27,2023-03-26,Port of Tianjin (China)
Pallete of Canned Fruit,157.55,419.33,1.11,0.93,1.29,2023-03-24,Port of Busan (South Korea)
Generators,2503.73,59.52,0.46,0.59,0.55,2023-03-27,Port of Shanghai (China)
Pallete of Tea,389.7,709.87,1.12,0.92,1.22,2023-03-19,Port of Shanghai (China)
Gaming Console,755.82,3.52,0.24,0.2,0.18,2023-03-16,Port of Tianjin (China)
Bicycle,428.55,10.56,1.76,0.21,0.83,2023-03-15,Port of Tianjin (China)
Extra Large Box,48.68,1.24,1.18,0.72,0.53,2023-03-16,Port of Tianjin (China)
Pallete of Cat Food,143.41,440.45,1.12,0.93,1.28,,Port of Busan (South Korea)
Armchair,109.21,33.56,1.34,1.1,0.87,2023-03-17,Port of Singapore (Singapore)
Guitar,175.49,2.47,0.42,0.26,0.14,2023-03-13,Port of Tianjin (China)
Backpack,40.73,0.79,0.35,0.66,0.18,2023-03-17,Port of Singapore (Singapore)
Coffee Maker,187.23,2.61,0.24,0.25,0.22,2023-03-20,Port of Shanghai (China)
Electric Drill,82.14,3.21,0.24,0.32,0.21,2023-03-26,Port of Tianjin (China)
PC Mice,105.17,0.19,1.38,0.36,0.16,2023-03-15,Port of Tokyo (Japan)
Measuring Cups and Spoons,16.99,0.52,0.4,0.26,0.19,2023-03-16,Port of Tianjin (China)
Pallete of Bananas,84.12,313.26,1.15,0.92,0.67,2023-03-16,Port of Busan (South Korea)
Small Box,9.7,0.11,0.28,0.28,0.12,2023-03-17,Port of Tokyo (Japan)
Pallete of Chairs,1117.32,3356.5,1.51,1.17,1.01,2023-03-24,Port of Busan (South Korea)
Pallete of Shoes,1546.68,4844.79,1.11,0.8,1.04,2023-03-22,Port of Tianjin (China)
Big Bag with Glass Scraps,209.06,1176.42,1.64,0.93,0.17,2023-03-13,Port of Busan (South Korea)
Wine Opener,17.26,0.76,0.2,0.19,0.06,2023-03-26,Port of Tokyo (Japan)
Pallete of Glassware,544.71,607.06,1.33,1.16,0.53,2023-03-21,Port of Singapore (Singapore)
Big Bag with Rocks,145.19,1592.74,1.51,0.97,0.1,2023-03-18,Port of Tianjin (China)
Small Box,8.29,0.12,0.23,0.27,0.11,2023-03-14,Port of Shanghai (China)
Electric Guitar,404.49,4.9,1.09,0.37,0.09,2023-03-25,Port of Tianjin (China)
Jar of Peanut Butter,5.81,0.43,0.16,0.14,0.13,2023-03-13,Port of Tianjin (China)
Jar of Peanut Butter,5.86,0.4,0.18,0.14,0.11,2023-03-28,Port of Busan (South Korea)
Duvet,233.93,2.86,2.34,1.55,0.22,2023-03-17,Port of Busan (South Korea)
Big Bag with Textile Scraps,129.18,1012.23,1.83,0.82,0.12,2023-03-21,Port of Shanghai (China)
Smartphone,528.13,0.18,0.05,0.08,0.02,2023-03-17,Port of Shanghai (China)
Spices Collection,25.23,0.73,0.21,0.26,0.19,2023-03-21,Port of Singapore (Singapore)
Soccer Ball,29.61,0.48,0.21,0.21,0.24,2023-03-14,Port of Singapore (Singapore)
Backpacking Tent,166.65,2.36,2.07,1.76,1.5,2023-03-27,Port of Tianjin (China)
Ceramic Tiles,23.32,8.53,0.27,0.34,0.01,2023-03-25,Port of Tianjin (China)
Weed Eater,68.18,5.61,0.81,0.26,0.16,2023-03-23,Port of Shanghai (China)
Flute,119.35,0.12,0.2,0.03,0.08,2023-03-27,Port of Shanghai (China)
Medium Box,12.71,0.43,0.45,0.36,0.23,2023-03-18,Port of Singapore (Singapore)
Vacuum Cleaner,172.92,7.02,0.51,0.59,0.29,2023-03-17,Port of Tokyo (Japan)
Electric Drill,63.63,3.39,0.4,0.3,0.21,2023-03-16,Port of Tianjin (China)
Large Shipping Tube,28.3,0.79,0.61,0.32,1.03,2023-03-13,Port of Shanghai (China)
Small Box,6.53,0.29,0.27,0.21,0.12,2023-03-15,Port of Tokyo (Japan)
Can of Beans,2.95,0.4,0.11,0.11,0.11,2023-03-18,Port of Singapore (Singapore)
Water Bottle,24.88,0.97,0.22,0.24,0.07,2023-03-28,Port of Tokyo (Japan)
Bricks,89.8,39.33,0.84,0.22,0.18,2023-03-27,Port of Tianjin (China)
Bed,218.22,56.5,2.04,1.7,1.4,2023-03-19,Port of Shanghai (China)
Jump Rope,6.13,0.15,0.07,0.1,0.01,2023-03-27,Port of Tokyo (Japan)
Tablets,853.21,0.71,0.6,0.46,0.16,2023-03-26,Port of Tokyo (Japan)
Leaf Blower,179.45,7.51,1.19,0.4,0.31,2023-03-15,Port of Tokyo (Japan)
Big Bag with Food Ingredients,130.25,928.43,1.14,0.66,0.25,2023-03-16,Port of Shanghai (China)
Camera Bag,31.14,0.56,0.34,0.47,0.21,2023-03-28,Port of Tianjin (China)
Breakfast Bundle,26.71,1.5,0.72,0.35,0.26,2023-03-22,Port of Singapore (Singapore)
Oranges,135.21,170.57,0.48,0.69,0.7,2023-03-21,Port of Tianjin (China)
Fitness Trackers,208.68,0.16,0.39,0.35,0.28,2023-03-12,Port of Singapore (Singapore)
Ceramic Tiles,15.06,9.55,0.47,0.49,0.01,2023-03-18,Port of Busan (South Korea)
Digital Camera,463.91,0.87,0.1,0.07,0.06,2023-03-26,Port of Tokyo (Japan)
Box of Chocolate Bar,33.91,2.72,0.76,0.56,0.17,2023-03-20,Port of Tokyo (Japan)
Medium Box,18.47,0.57,0.49,0.38,0.28,2023-03-17,Port of Tianjin (China)
Pallete of Clothing,245.1,934.75,1.03,0.98,1.27,2023-03-22,Port of Shanghai (China)
Tennis Racket,23.94,0.4,0.62,0.14,0.04,2023-03-15,Port of Singapore (Singapore)
Smartphone,945.55,0.22,0.06,0.03,0.17,2023-03-28,Port of Busan (South Korea)
Mountain Bike,487.47,13.88,2.22,0.89,1.04,2023-03-22,Port of Tianjin (China)
Tomatoes (Canned),102.06,97.68,0.4,0.3,0.3,2023-03-22,Port of Singapore (Singapore)
Backpacking Tent,178.7,3.47,2.04,1.93,1.75,2023-03-15,Port of Tokyo (Japan)
Printer,221.0,5.39,0.39,0.45,0.35,2023-03-25,Port of Tokyo (Japan)
Roofing Shingles,16.82,6.69,0.85,0.7,0.06,2023-03-28,Port of Shanghai (China)
Box of Chocolate Bar,47.09,2.94,0.41,0.41,0.23,2023-03-25,Port of Shanghai (China)
Apples,91.14,266.53,1.0,0.6,0.7,2023-03-21,Port of Singapore (Singapore)
Electric Drill,65.12,3.85,0.35,0.2,0.27,2023-03-26,Port of Busan (South Korea)
Jump Rope,15.75,0.15,0.08,0.06,0.01,2023-03-26,Port of Singapore (Singapore)
Bananas,135.58,174.61,0.73,0.6,0.7,2023-03-26,Port of Shanghai (China)
Smartphone Case,5.96,0.06,0.14,0.06,0.02,2023-03-24,Port of Busan (South Korea)
Pallete of Orange Juice,152.93,566.66,1.14,0.91,1.5,2023-03-23,Port of Singapore (Singapore)
Jar of Pasta Sauce,6.96,0.49,0.16,0.15,0.12,2023-03-16,Port of Singapore (Singapore)
Fan,34.05,4.89,0.38,0.26,0.21,2023-03-28,Port of Shanghai (China)
Pallete of Water Bottles,75.01,204.26,1.11,1.5,1.18,2023-03-21,Port of Busan (South Korea)
Big Bag with Glass Scraps,200.26,1619.03,1.59,0.9,0.24,2023-03-26,Port of Busan (South Korea)
Small Box,9.34,0.22,0.29,0.26,0.13,2023-03-12,Port of Busan (South Korea)
Microwave,115.71,3.91,0.44,0.39,0.3,2023-03-21,Port of Tianjin (China)
Wheat Flour,62.09,3.23,0.4,0.5,0.3,2023-03-22,Port of Busan (South Korea)
Sprinkler System,330.86,8.5,0.84,0.72,0.14,2023-03-28,Port of Shanghai (China)
Garden Hose,36.75,4.47,12.32,0.32,0.15,2023-03-28,Port of Shanghai (China)
Running Shoes,68.67,0.67,0.21,0.28,0.17,2023-03-21,Port of Shanghai (China)
Wheat Flour,71.72,2.97,0.4,0.5,0.3,2023-03-16,Port of Shanghai (China)
Pallete of Orange Juice,187.5,540.16,1.17,0.81,1.25,2023-03-21,Port of Shanghai (China)
Laptop,1588.0,1.46,0.38,0.38,0.05,2023-03-14,Port of Busan (South Korea)
Aluminum Sheets,54.6,42.97,1.84,1.49,0.07,2023-03-16,Port of Tianjin (China)
Coffee Table,114.82,24.97,0.66,0.51,0.3,2023-03-18,Port of Shanghai (China)
Handheld Mixer,70.74,1.32,0.4,0.38,0.18,2023-03-24,Port of Shanghai (China)
Healthy Snack Pack,15.04,0.44,0.26,0.15,0.06,2023-03-17,Port of Tianjin (China)
Extra Large Box,43.87,1.08,1.31,0.8,0.44,2023-03-12,Port of Tianjin (China)
Smartphone Gimbal,191.74,0.68,0.24,0.24,0.25,2023-03-18,Port of Busan (South Korea)
Pallete of Tables,2137.5,5088.66,1.91,1.21,1.36,2023-03-26,Port of Singapore (Singapore)
Small Box,8.75,0.11,0.29,0.23,0.2,2023-03-14,Port of Tianjin (China)
Guitar Case,109.88,4.05,1.1,0.49,1.19,2023-03-23,Port of Tokyo (Japan)
Pallete of Chairs,1423.16,3979.04,1.27,1.44,1.14,2023-03-15,Port of Tianjin (China)
Hoe,26.09,1.56,0.85,0.47,0.48,2023-03-22,Port of Singapore (Singapore)
Showerhead,30.98,0.55,0.28,0.2,0.12,2023-03-12,Port of Busan (South Korea)
Desk Chair,179.02,7.8,0.92,0.9,0.69,2023-03-20,Port of Singapore (Singapore)
Small Box,8.77,0.12,0.3,0.26,0.12,2023-03-19,Port of Busan (South Korea)
Medium Box,17.09,0.32,0.47,0.38,0.25,2023-03-21,Port of Shanghai (China)
Golf Cart,7216.48,386.25,1.85,1.18,1.23,2023-03-21,Port of Singapore (Singapore)
Gym Bag,25.97,0.73,0.35,0.29,0.2,2023-03-18,Port of Tianjin (China)
Pallete of Chips,134.53,256.82,1.1,0.92,1.36,2023-03-19,Port of Busan (South Korea)
Medium Box,10.18,0.43,0.48,0.36,0.27,2023-03-27,Port of Tokyo (Japan)
Plywood Sheets,30.77,17.94,1.78,0.83,0.02,2023-03-25,Port of Busan (South Korea)
Mattress,142.92,20.87,1.59,1.11,0.29,2023-03-25,Port of Singapore (Singapore)
Large Box,28.54,0.83,0.71,0.42,0.33,2023-03-13,Port of Shanghai (China)
Wristwatch,176.33,0.16,0.24,0.06,0.1,2023-03-13,Port of Tokyo (Japan)
Garden Cart,126.74,11.88,0.93,0.65,0.46,2023-03-24,Port of Shanghai (China)
Box of Tea,73.03,1.45,0.44,0.26,0.28,2023-03-15,Port of Tokyo (Japan)
Bicycle,131.96,19.67,1.44,0.59,0.82,2023-03-15,Port of Shanghai (China)
Dumbbell Set,239.83,20.4,0.84,0.7,0.23,2023-03-14,Port of Tokyo (Japan)
Yoga Mat,27.57,1.15,1.07,0.91,0.06,2023-03-20,Port of Singapore (Singapore)
Small Boat,18322.11,769.98,4.55,1.89,2.32,2023-03-16,Port of Tokyo (Japan)
Drone,956.38,0.52,0.79,0.83,0.28,2023-03-21,Port of Tianjin (China)
Running Shoes,64.26,1.18,0.31,0.27,0.18,2023-03-17,Port of Tokyo (Japan)
Weed Whacker,195.13,3.87,0.88,0.29,0.22,2023-03-28,Port of Shanghai (China)
Sewing Machine,360.94,12.8,0.39,0.31,0.69,2023-03-23,Port of Singapore (Singapore)
Electric Drill,62.51,3.46,0.32,0.23,0.27,2023-03-28,Port of Singapore (Singapore)
Small Desk,67.78,17.07,0.75,0.71,0.77,2023-03-12,Port of Busan (South Korea)
Computer,1433.87,6.86,0.58,0.36,0.14,2023-03-25,Port of Busan (South Korea)
Duvet,208.58,1.17,2.33,1.64,0.15,2023-03-26,Port of Shanghai (China)
Microwave,187.78,3.44,0.34,0.37,0.23,2023-03-16,Port of Singapore (Singapore)
Television,171.71,7.85,0.91,0.67,0.2,2023-03-15,Port of Tianjin (China)
ATV,3273.95,561.62,2.63,1.42,1.35,2023-03-24,Port of Busan (South Korea)
Drum Set,1005.55,62.84,0.78,0.6,1.5,2023-03-14,Port of Busan (South Korea)
Large Box,34.07,0.95,0.95,0.56,0.4,2023-03-24,Port of Tokyo (Japan)
Portable Bluetooth Keyboard,106.12,0.21,0.17,0.09,0.03,2023-03-25,Port of Shanghai (China)
Car,101731.5,3098.12,4.34,2.06,1.48,2023-03-18,Port of Tokyo (Japan)
Mattress,208.29,22.23,1.85,1.1,0.22,2023-03-12,Port of Singapore (Singapore)
Pallete of Dog Food,237.11,410.72,1.04,0.91,1.21,2023-03-18,Port of Tokyo (Japan)
Backpack,34.12,1.1,0.22,0.54,0.18,2023-03-20,Port of Busan (South Korea)
Box of Crackers,3.1,0.41,0.14,0.08,0.09,2023-03-26,Port of Tokyo (Japan)
Floor Lamp,80.59,1.87,0.31,0.34,1.07,2023-03-26,Port of Tianjin (China)
Pallete of Plastic Cups,121.06,329.24,1.2,0.8,1.2,2023-03-25,Port of Shanghai (China)
Insulation Rolls,27.96,9.34,1.55,0.6,0.09,2023-03-26,Port of Busan (South Korea)
Showerhead,36.1,0.95,0.21,0.2,0.1,2023-03-12,Port of Singapore (Singapore)
Assorted Tea Bags,6.74,0.54,0.12,0.14,0.08,2023-03-26,Port of Busan (South Korea)
Bicycle,440.01,19.63,1.99,1.0,1.05,2023-03-25,Port of Tokyo (Japan)
Large Shipping Tube,25.74,0.46,0.72,0.45,1.03,2023-03-28,Port of Tokyo (Japan)
Leaf Blower,85.79,4.56,0.62,0.34,0.36,2023-03-18,Port of Tokyo (Japan)
Breakfast Bundle,23.28,1.11,0.57,0.35,0.23,2023-03-18,Port of Tokyo (Japan)
Sofa,722.23,123.29,1.27,1.43,0.89,2023-03-27,Port of Tianjin (China)
Piano,4133.88,174.99,1.92,1.78,0.9,2023-03-25,Port of Tokyo (Japan)
Loaf of Bread,3.86,0.31,0.24,0.14,0.13,2023-03-17,Port of Singapore (Singapore)
Laptop Backpack,66.13,1.45,0.55,0.29,0.5,2023-03-21,Port of Tianjin (China)
Pallete of Paper Towels,221.46,603.14,1.45,1.09,0.73,2023-03-12,Port of Tokyo (Japan)
Watering Can,6.35,0.69,0.49,0.17,0.12,2023-03-28,Port of Singapore (Singapore)
Box of Chocolate Bar,38.19,2.79,0.65,0.48,0.19,2023-03-26,Port of Singapore (Singapore)
Pallete of Tires,533.39,1564.34,1.12,0.88,1.36,2023-03-27,Port of Tokyo (Japan)
Floor Lamp,54.88,1.41,0.48,0.38,1.12,2023-03-25,Port of Singapore (Singapore)
Pallete of Snacks,133.77,442.46,1.16,0.94,1.43,2023-03-23,Port of Busan (South Korea)
Laptop Bag,15.44,1.37,0.34,0.31,0.12,2023-03-26,Port of Tianjin (China)
E-Reader,210.9,0.41,0.12,0.21,0.02,2023-03-14,Port of Busan (South Korea)
Large Padded Envelope,5.04,0.26,0.23,0.18,0.08,2023-03-19,Port of Busan (South Korea)
Medium Shipping Tube,13.62,0.31,0.35,0.26,0.99,2023-03-27,Port of Singapore (Singapore)
Jet Ski,3339.76,167.31,2.06,0.71,1.05,,Port of Busan (South Korea)
Handheld Mixer,70.17,1.82,0.46,0.35,0.19,2023-03-25,Port of Tokyo (Japan)
Vacuum Cleaner,258.98,8.68,0.5,0.41,0.13,2023-03-23,Port of Singapore (Singapore)
Cycling Helmet,35.83,0.69,0.24,0.24,0.29,2023-03-12,Port of Shanghai (China)
PVC Pipes,8.73,3.74,1.89,0.08,1.71,2023-03-25,Port of Tianjin (China)
Pallete of Dog Food,224.28,427.66,1.06,0.85,1.47,2023-03-28,Port of Tianjin (China)
Refrigerator,692.84,54.38,1.24,0.93,1.65,2023-03-25,Port of Tokyo (Japan)
Insulation Rolls,23.57,7.3,1.72,0.9,0.09,2023-03-21,Port of Shanghai (China)
Drone,1171.94,1.57,1.25,0.23,0.12,2023-03-13,Port of Singapore (Singapore)
Carton of Eggs,5.05,0.63,0.2,0.08,0.1,2023-03-22,Port of Singapore (Singapore)
Pruning Shears,21.14,0.45,0.22,0.06,0.06,2023-03-14,Port of Tokyo (Japan)
Large Box,23.28,0.77,0.82,0.54,0.36,2023-03-17,Port of Tokyo (Japan)
Table Lamp,46.24,0.77,0.23,0.23,0.38,2023-03-18,Port of Singapore (Singapore)
Garden Rake,22.82,2.8,0.9,0.5,0.44,2023-03-24,Port of Tianjin (China)
Scooter,94.41,3.69,1.09,0.49,0.2,2023-03-25,Port of Tokyo (Japan)
Bookshelf,309.78,6.35,0.98,0.94,1.07,2023-03-23,Port of Shanghai (China)
Medium Box,10.05,0.31,0.45,0.37,0.26,2023-03-15,Port of Shanghai (China)
Mixed Dried Fruits,15.23,0.92,0.38,0.24,0.18,2023-03-17,Port of Shanghai (China)
Small Desk,61.07,22.22,0.8,0.44,0.85,2023-03-25,Port of Tokyo (Japan)
Flute,200.72,0.19,0.17,0.03,0.05,2023-03-19,Port of Shanghai (China)
ATV,1844.09,646.6,2.22,1.46,1.38,2023-03-12,Port of Tokyo (Japan)
Headphones,89.88,0.46,0.14,0.14,0.11,2023-03-22,Port of Busan (South Korea)
Air Conditioner,992.75,46.06,1.17,0.32,0.21,2023-03-27,Port of Busan (South Korea)
Soccer Ball,29.23,0.52,0.22,0.21,0.24,2023-03-13,Port of Tokyo (Japan)
Electric Shaver,35.01,0.24,0.17,0.03,0.09,2023-03-24,Port of Tianjin (China)
Bananas,130.48,313.99,0.64,0.6,0.7,2023-03-26,Port of Singapore (Singapore)
Assorted Tea Bags,5.65,0.4,0.12,0.17,0.1,2023-03-28,Port of Singapore (Singapore)
Rain Jacket,75.78,0.51,0.38,0.38,0.12,2023-03-17,Port of Singapore (Singapore)
Oranges,123.82,279.49,0.45,0.67,0.7,2023-03-26,Port of Singapore (Singapore)
Water Bottle,23.04,0.91,0.24,0.21,0.05,2023-03-12,Port of Singapore (Singapore)
Pallete of Chips,106.7,295.24,1.02,0.84,1.45,2023-03-14,Port of Shanghai (China)
Gardening Gloves,19.18,0.27,0.18,0.06,0.02,2023-03-27,Port of Shanghai (China)
Gaming Console,424.35,3.34,0.31,0.36,0.05,2023-03-21,Port of Tianjin (China)
Camera Bag,59.81,1.24,0.36,0.3,0.24,2023-03-17,Port of Tianjin (China)
Roofing Shingles,16.88,5.85,0.89,0.96,0.06,2023-03-25,Port of Shanghai (China)
External Hard Drives,97.46,1.91,0.57,0.4,0.48,2023-03-13,Port of Singapore (Singapore)
Microwave Oven,102.22,13.91,0.48,0.45,0.28,2023-03-21,Port of Tokyo (Japan)
Big Bag with Food Ingredients,158.75,561.3,1.27,0.71,0.22,2023-03-21,Port of Tianjin (China)
Pallete of Glassware,444.09,504.51,1.04,1.04,0.69,2023-03-17,Port of Singapore (Singapore)
Camera,437.46,0.94,0.14,0.1,0.07,2023-03-12,Port of Shanghai (China)
Large Box,33.52,0.78,0.75,0.47,0.31,2023-03-13,Port of Singapore (Singapore)
Large Padded Envelope,7.83,0.24,0.26,0.14,0.06,2023-03-21,Port of Shanghai (China)
Cookware Set,198.31,9.84,0.47,0.33,0.12,2023-03-16,Port of Singapore (Singapore)
Yoga Mat,43.17,1.98,1.67,0.63,0.02,2023-03-27,Port of Busan (South Korea)
Headphones,49.38,0.28,0.14,0.12,0.13,2023-03-14,Port of Singapore (Singapore)
Jump Rope,13.01,0.28,0.1,0.08,0.01,2023-03-12,Port of Singapore (Singapore)
Fitness Trackers,346.12,0.13,0.46,0.79,0.22,2023-03-16,Port of Shanghai (China)
Showerhead,24.01,0.78,0.33,0.2,0.12,2023-03-23,Port of Shanghai (China)
Medium Flat Rate Box,21.14,0.35,0.63,0.36,0.13,2023-03-24,Port of Tokyo (Japan)
Laptop Bag,33.77,1.41,0.26,0.33,0.13,2023-03-22,Port of Shanghai (China)
Large Padded Envelope,6.49,0.24,0.3,0.12,0.05,2023-03-28,Port of Tianjin (China)
Large Box,28.72,0.77,0.94,0.48,0.32,2023-03-25,Port of Shanghai (China)
Floor Lamp,35.44,2.44,0.39,0.43,1.18,2023-03-27,Port of Busan (South Korea)
Insulation Rolls,27.17,7.61,1.84,0.99,0.05,2023-03-19,Port of Singapore (Singapore)
Pallete of Frozen Meat,537.29,1455.27,1.05,0.83,1.45,2023-03-17,Port of Tianjin (China)
Big Bag with Plastic Scraps,175.61,1836.76,1.56,0.91,0.12,2023-03-15,Port of Busan (South Korea)
Medium Box,18.26,0.35,0.53,0.36,0.28,,Port of Tianjin (China)
Spices Collection,34.4,0.98,0.28,0.25,0.16,2023-03-28,Port of Singapore (Singapore)
Mattress,102.99,24.66,1.53,1.33,0.25,2023-03-12,Port of Busan (South Korea)
Medium Flat Rate Box,18.35,0.7,0.77,0.38,0.18,2023-03-14,Port of Busan (South Korea)
Pallete of Musical Instruments,828.71,1984.6,1.31,0.82,0.6,2023-03-21,Port of Busan (South Korea)
Smartphone Gimbal,135.64,0.64,0.21,0.26,0.24,2023-03-21,Port of Tianjin (China)
Microwave,180.62,4.42,0.42,0.4,0.22,2023-03-28,Port of Tokyo (Japan)
Watering Can,12.16,1.29,0.37,0.21,0.12,2023-03-14,Port of Singapore (Singapore)
